NAME,AGE,EMAIL,CONTACT NUMBER,VACCINATION STATUS
Zemerelin,11,zem@gmail.com,9728376452,Vaccinated
iris,56,iris@yahoo.com,9763628742,Partially vaccinated
krystal,4,fx@gmail.com,9234682949,Not vaccinated
non,23,non@email.com,9384625247,Partially vaccinated
kwan,12,kwan@gmail.com,2973426445,Fully vaccinated
kyeom,5,kyeom@gmail.com,986433089,Vaccinatedcheol
han,95,hanniehae@gmail.com,9876543321,Vaccinated
han,26,hanniehae@gmail.com,987654321,Vaccinated
shuu,18,shushu@gmail.com,09876542124,Vaccinated
shu,19,shuhong@gmail.com,09999999,Vaccinated
nodi,8,dinosaur@gmail.com,09876543142,Partially vaccinated
kook,23,pomichodai@gmail.com,097654321,Fully vaccinated
